entity_type,bundle_name,entity_id,field_name,weight,address,street,street2,city,province,zip,country,timezone,zoom,lat,lng,term_id
post,charity_bin_dir_ltg,14574,location_address,0,"1944 W 4th St, Williamsport, PA 17701, USA",1944 West 4th Street,,Williamsport,Pennsylvania,17701,US,,10,41.240297,-77.051454,0
post,charity_bin_dir_ltg,14575,location_address,0,"2386 PA-654, Williamsport, PA 17702, USA",2386 Riverside Drive,,,Pennsylvania,17702,US,,10,41.216735,-77.098422,0
post,charity_bin_dir_ltg,14576,location_address,0,"705 Hastings St, Williamsport, PA 17702, USA",705 Hastings Street,,,Pennsylvania,17702,US,,10,41.228452,-76.989766,0
post,charity_bin_dir_ltg,14577,location_address,0,"1026 Stadium Dr, Alexandria, LA 71303, USA",1026 Stadium Drive,,Alexandria,Louisiana,71303,US,,10,31.265054,-92.489283,0
post,charity_bin_dir_ltg,14578,location_address,0,"14 MacArthur Dr, Alexandria, LA 71303, USA",14 Macarthur Drive,,Alexandria,Louisiana,71303,US,,10,31.304535,-92.48047,0
post,charity_bin_dir_ltg,14579,location_address,0,"1701 Ulster Dr, Alexandria, LA 71303, USA",Ulster Drive,,Alexandria,Louisiana,71303,US,,10,31.34017,-92.51366,0
post,charity_bin_dir_ltg,14580,location_address,0,"1904 Lee St, Alexandria, LA 71301, USA",1904 Lee Street,,Alexandria,Louisiana,71301,US,,10,31.299297,-92.451897,0
post,charity_bin_dir_ltg,14581,location_address,0,"1984 Monroe St, Alexandria, LA 71301, USA",1984 Monroe Street,,Alexandria,Louisiana,71301,US,,10,31.30587,-92.46468,0
post,charity_bin_dir_ltg,14582,location_address,0,"201 Bolton Ave, Alexandria, LA 71301, USA",201 Bolton Avenue,,Alexandria,Louisiana,71301,US,,10,31.308549,-92.458618,0
post,charity_bin_dir_ltg,14583,location_address,0,"204 Bolton Ave, Alexandria, LA 71301, USA",204 Bolton Avenue,,Alexandria,Louisiana,71301,US,,10,31.308049,-92.459043,0
post,charity_bin_dir_ltg,14584,location_address,0,"2161 N Bolton Ave, Alexandria, LA 71303, USA",2161 North Bolton Avenue,,Alexandria,Louisiana,71303,US,,10,31.321981,-92.476643,0
post,charity_bin_dir_ltg,14585,location_address,0,"2204 Worley Dr, Alexandria, LA 71301, USA",2204 Worley Drive,,Alexandria,Louisiana,71301,US,,10,31.276269,-92.4648,0
post,charity_bin_dir_ltg,14586,location_address,0,"260 Windermere Blvd, Alexandria, LA 71303, USA",260 Windermere Boulevard,,Alexandria,Louisiana,71303,US,,10,31.292079,-92.491757,0
post,charity_bin_dir_ltg,14587,location_address,0,"2900 S MacArthur Dr, Alexandria, LA 71301, USA",2900 South Macarthur Drive,,Alexandria,Louisiana,71301,US,,10,31.267152,-92.457773,0
post,charity_bin_dir_ltg,14588,location_address,0,"3512 Lee St, Alexandria, LA 71302, USA",3512 Lee Street,,Alexandria,Louisiana,71302,US,,10,31.277368,-92.446953,0
post,charity_bin_dir_ltg,14589,location_address,0,"5615 Coliseum Blvd, Alexandria, LA 71303, USA",Coliseum Boulevard,,Alexandria,Louisiana,71303,US,,10,31.294546,-92.502737,0
post,charity_bin_dir_ltg,14590,location_address,0,"5909 Skye St, Alexandria, LA 71303, USA",5909 Skye Street,,Alexandria,Louisiana,71303,US,,10,31.296647,-92.512239,0
post,charity_bin_dir_ltg,14591,location_address,0,"5994 Jackson St, Alexandria, LA 71303, USA",5994 Jackson Street,,Alexandria,Louisiana,71303,US,,10,31.263664,-92.489723,0
post,charity_bin_dir_ltg,14592,location_address,0,"7921 LA-28, Alexandria, LA 71303, USA",Coliseum Boulevard,,Alexandria,Louisiana,71303,US,,10,31.295068,-92.538992,0
post,charity_bin_dir_ltg,14593,location_address,0,"1500 1st St, Arcadia, LA 71001, USA",1500 1st Street,,,Louisiana,71001,US,,10,32.547525,-92.916146,0
post,charity_bin_dir_ltg,14594,location_address,0,"2701 W Park Row Dr, Arlington, TX 76013, USA",2701 West Park Row Drive,,Arlington,Texas,76013,US,,10,32.72215,-97.15125,0
post,charity_bin_dir_ltg,14595,location_address,0,"5720 SW Green Oaks Blvd, Arlington, TX 76017, USA",5720 Southwest Green Oaks Boulevard,,Arlington,Texas,76017,US,,10,32.673552,-97.193362,0
post,charity_bin_dir_ltg,14596,location_address,0,"15248 LA-9, Athens, LA 71003, USA",LA 9,,,Louisiana,71003,US,,10,32.653609,-93.022202,0
post,charity_bin_dir_ltg,14597,location_address,0,"327 US-59, Atlanta, TX 75551, USA",327 Loop 59,,,Texas,75551,US,,10,33.120088,-94.180474,0
post,charity_bin_dir_ltg,14598,location_address,0,"891 Holly St, Atlanta, TX 75551, USA",891 Holly Street,,,Texas,75551,US,,10,33.124091,-94.150442,0
post,charity_bin_dir_ltg,14599,location_address,0,"1315 Barbara Jordan Blvd, Austin, TX 78723, USA",1315 Barbara Jordan Boulevard,,Austin,Texas,78723,US,,10,30.304885,-97.705904,0
post,charity_bin_dir_ltg,14600,location_address,0,"2237 E Riverside Dr, Austin, TX 78741, USA",2237 East Riverside Drive,,Austin,Texas,78741,US,,10,30.237881,-97.726034,0
post,charity_bin_dir_ltg,14601,location_address,0,"2525 W Anderson Ln, Austin, TX 78757, USA",2525 West Anderson Lane,,Austin,Texas,78757,US,,10,30.355215,-97.732651,0
post,charity_bin_dir_ltg,14602,location_address,0,"7811 Rockwood Ln, Austin, TX 78757, USA",7811 Rockwood Lane,,Austin,Texas,78757,US,,10,30.358274,-97.738021,0
post,charity_bin_dir_ltg,14603,location_address,0,"1100 S IH 35 Frontage Rd, Austin, TX 78704, USA",,,,,,,,10,30.247145,-97.736048,0
post,charity_bin_dir_ltg,14604,location_address,0,"5804 Monroe Hwy, Ball, LA 71405, USA",5804 Monroe Highway,,,Louisiana,71405,US,,10,31.404103,-92.410624,0
post,charity_bin_dir_ltg,14605,location_address,0,"3003 TX-150 Loop, Bastrop, TX 78602, USA",,,,,,,,10,30.11033,-97.308341,0
post,charity_bin_dir_ltg,14606,location_address,0,"900 State Hwy 95, Bastrop, TX 78602, USA",,,,,,,,10,30.109918,-97.308162,0
